cell1,cell2,cell3,cell4,cell5,cell6,cell7,cell8,cell9,cell10,cell11,cell12,cell13,cell14,cell15,cell16,cell17,cell18,cell19,cell20,cell21,cell22,cell23,cell24,cell25,cell26,cell27,cell28,cell29,cell30,cell31,cell32,cell33,cell34,cell35,cell36,cell37,cell38,cell39,cell40,cell41,cell42,cell43,cell44,cell45,cell46,cell47,cell48,cell49,cell50,cell51,cell52,cell53,cell54,cell55,cell56,cell57,cell58,cell59,cell60,cell61,cell62,cell63,cell64,cell65,cell66,cell67,cell68,cell69,cell70,cell71
0.975768224,0.997313901,0.97520898,0.964978783,0.950935174,0.950039268,1.154175841,0.735823259,0.869854877,0.896493761,1.144698601,0.726366054,0.982655218,1.008747834,1.399278579,1.517401565,0.879293703,1.169213085,0.96439173,1.676984555,1.505358469,1.152774762,1.104211312,1.09437587,0.93015167,1.069094483,0.80977662,1.160543347,0.960754551,0.711352968,1.013919218,1.106559864,1.241738504,1.108409058,1.011706644,0.939637201,1.174535968,1.181303258,0.941077469,1.157427859,1.281715797,1.205819427,1.187682844,1.241486198,1.149418527,0.881719169,1.055314056,1.076398756,1.094311152,1.030572657,1.072766243,1.075550309,1.054478577,1.16699409,1.211363976,1.800209353,1.109534861,0.967503541,1.114322251,0.973110066,0.916188699,1.07207055,0.935262499,1.11488819,0.80639064,0.902718242,1.027939685,1.074484521,1.059606492,1.091803695,1.122508301
0.872855241,1.014977133,1.042005449,0.846667783,0.987021144,0.896349962,1.159542066,0.711853424,1.031222943,0.711259461,0.863942477,0.209670473,0.885495537,1.005485289,0.639432563,0.900523385,1.054656058,1.189191721,0.657427815,1.2254159,1.219451153,1.064698122,1.376309083,0.954485341,1.04573916,1.028206727,0.81796334,1.150614354,0.975673733,0.612581804,1.009388146,1.011834074,1.042911594,1.138064407,1.39862492,0.882139322,1.068078672,1.168727105,0.984965799,0.837574201,1.130463201,1.180302795,1.080683992,1.085629671,1.198436897,0.847900668,1.170040783,0.997534612,1.089730988,1.102752152,1.064422259,1.093513993,1.050140689,1.482782589,1.179696557,1.012618747,1.051645491,0.951011861,1.185015204,0.994864703,0.91829148,0.927402719,1.221368446,1.187878505,0.718413342,0.995377412,1.136741574,1.067722976,1.064283548,1.075896435,1.053710675
0.881917725,1.048621955,1.063639611,1.195911202,1.009291128,0.979819277,0.918264586,0.700894752,1.360989891,0.953313745,1.015648214,0.449035975,0.915743362,1.547249955,0.733880391,0.726555782,1.606797737,1.140597416,0.589035643,0.955097695,1.078202158,0.988360853,1.476498473,0.978559349,0.905115896,0.981098802,0.857664002,1.169200696,0.93699262,0.546949772,1.16366837,1.013038279,0.908583262,1.091654439,1.072209245,0.996406597,0.756805049,0.912913591,1.045637167,0.836102883,1.191620845,1.06429072,1.123274549,1.183874088,1.224003694,0.77750044,1.115125347,1.007373242,1.093678248,1.110716327,1.027068798,1.078538169,1.067173608,1.251684577,0.997596164,0.964536028,1.16238534,0.942774755,1.186156879,1.068756923,0.958567104,1.248914133,1.288683044,1.301198986,0.781194844,1.549420991,1.08111997,0.997728206,1.112583193,1.046934121,1.113008296
0.875236156,1.031024814,0.963443617,1.131311521,0.860661121,1.262542177,1.839622934,0.756732711,1.2997256,1.377527403,1.290433711,0.930476202,0.958585748,1.145341501,1.294801531,1.255333768,1.213267888,1.058193361,0.701886127,0.963355492,0.978490633,0.943840563,1.502110559,1.007727371,0.988442694,0.944681148,0.831612404,1.114602629,0.96725742,0.569086901,0.984148129,1.06168986,0.878005197,0.961965758,1.025793814,0.809947463,0.921329681,0.933774361,1.088271595,0.846948682,1.057517441,1.189967097,1.097008795,1.02898252,1.147081517,1.490399068,1.102299606,1.229593526,1.185688029,1.088991979,1.123841799,1.157172394,1.075287111,1.196233961,0.976572853,1.024112845,1.164604237,1.050474411,1.112272933,1.032834968,0.994167424,1.103042221,1.182816309,1.135211157,0.982867668,0.973244649,0.983826137,0.946241564,1.01486008,1.096043952,1.100387262
0.846191671,0.937253334,0.916482181,1.02123835,0.890380848,1.081919707,0.830134795,0.618653184,1.053469279,0.907320844,1.018269557,0.352091335,1.193702325,1.320451377,1.598340891,1.142852524,1.142586499,1.173765383,0.930048524,0.907819303,0.895613448,0.913089523,1.522652596,0.879050431,0.921106257,1.116984379,0.929013786,1.150863897,0.982040458,0.540206858,1.137423005,1.03331504,0.948424569,1.072542016,1.163763483,0.855751439,0.756431031,0.776197324,0.945773525,0.845951882,1.100318968,1.061294558,1.120502771,1.074452815,1.111630127,1.385480778,1.061805064,0.975403912,1.129296273,1.161416679,1.117738435,1.086435118,1.045433441,1.20497882,0.997519165,0.921907989,1.084566463,1.57955472,1.153285119,1.001206769,1.028116018,0.881034603,1.105105207,1.07925516,0.985662409,0.908842792,1.025753859,0.930413564,1.060667104,1.032058482,1.092847895
0.924778251,0.975955365,0.961831191,0.756560413,1.000036937,1.047446504,1.048830109,0.603567497,0.990316767,0.756750628,1.009496004,0.460161564,1.030807203,0.98884984,1.15382592,1.210535689,1.400001932,0.926039794,1.634797236,0.990062056,0.892556576,1.005691352,1.58116283,0.850407026,0.919506759,1.017882523,0.861704277,0.9925623,1.125813921,0.373345613,0.987745679,1.051905477,0.72100224,0.920362409,0.907706415,0.98343261,0.995757878,0.631792731,1.117943851,1.17116519,1.169694218,1.189827,1.147834175,1.157387143,1.200136995,1.033865235,1.047055534,0.986479032,1.045773216,1.083123343,1.082400218,1.108986485,1.034775096,1.068666833,1.084454321,1.001965936,1.080317167,1.081197575,1.12620598,1.0556411,0.959350581,1.126426177,1.07718257,1.08451421,1.78403654,0.92804082,1.004261034,1.050667546,1.145627662,1.029749537,0.973066326
1.063100975,0.973269719,0.94536035,0.888522843,0.975938002,1.075818821,0.917991852,0.61460847,1.107081706,0.648242387,0.834266108,0.442627356,0.991848088,1.419912054,0.808460808,0.92238549,1.479907519,1.411250039,1.15618691,1.209870183,0.982854945,1.252335911,1.125155081,0.943727158,0.944773132,0.976651838,0.762426077,1.056867309,1.042134112,0.439791008,1.121297682,1.17537982,0.849146873,0.952867943,0.969903406,0.783905444,1.244868368,0.749985142,1.083157504,1.014051648,1.051219624,1.11892566,1.040919157,1.078867799,1.112325082,0.851049656,1.029656908,1.060775394,1.143762324,1.163452923,1.057572267,1.167852953,1.068247869,1.070729662,1.026711334,1.076498189,0.996014774,0.937902296,1.119210536,1.071425927,1.049573138,1.094730274,0.993329573,1.132119543,1.338490867,1.443988223,1.064453407,1.086555625,1.074722485,1.122180726,0.90111313
1.009272439,0.970950559,0.960971595,0.814816866,0.970160652,0.964789948,1.138589749,0.769069456,1.240717537,1.41201903,0.801377116,0.610586292,0.940537318,1.412214191,1.029348332,1.096876831,1.525496502,1.104220627,0.949851715,0.950552434,0.982885552,1.059904758,1.269510816,0.83944795,0.912978592,0.978260902,0.820426259,1.066092974,0.95547539,0.8340419,1.035430525,1.100231046,1.512386235,1.019517085,1.121582016,0.87420164,0.536246853,0.716021361,0.988876419,0.870538311,1.034047287,1.04914944,1.058429,1.155118423,1.345507908,0.949450579,1.061988876,1.053698062,1.141407523,1.120764236,1.144827499,1.029571969,1.030494177,1.023352017,1.086757894,1.040400963,0.935380408,0.858720506,1.097286929,1.05208389,1.037297526,1.005856628,1.132568133,1.263893385,0.792170101,1.015377266,0.945269472,0.868754472,1.054326156,1.084852375,0.983076005
0.930400525,0.972441954,0.872848874,0.802431992,1.181581496,0.996940378,1.262502552,0.811566141,1.257785613,0.926946076,0.937640314,1.039614337,1.145347474,1.208584108,1.528115035,1.176001701,1.556982702,0.976953279,1.018301727,1.203559087,1.010443938,0.979954915,1.263941621,0.944691745,0.925595034,0.930409197,0.830737935,1.070124802,1.002538643,1.742751271,1.099852745,1.068868191,1.804653417,1.179826404,1.335666833,1.921142584,1.075830062,1.308208454,0.93955689,1.180868114,1.100690448,1.151488828,1.064177058,1.036697914,1.171986396,1.365395829,1.030850425,1.048431762,1.125798846,1.069945329,1.16069565,1.093866434,1.023917279,1.078003341,1.053431528,0.945487087,1.086277926,0.898691799,1.149238942,1.006505198,1.007278605,1.125515834,1.175845628,1.196506791,0.834720998,1.066147668,0.895801933,1.045281329,1.000011411,1.000746081,0.941140313
0.861897308,0.839099584,0.786929695,0.862147843,0.975482102,1.230292434,1.199130801,0.907035885,1.370325965,1.040108401,0.960859117,1.235263857,1.150620383,1.073871149,0.782323819,0.93759425,1.483194997,1.054529906,0.908034759,0.958969639,1.013167645,0.961471598,1.446521635,1.050186904,0.948747061,1.000414621,0.75195262,1.132188424,1.067099762,0.676695737,1.162612216,0.948407953,1.140482759,1.131683705,1.194260234,1.095327178,1.088676559,0.96384382,0.92873884,0.962868994,1.249085715,1.157239944,1.194299188,1.116566142,0.964222481,1.31553851,1.045243395,1.137628176,1.126594046,1.03269079,1.077826375,1.086280305,1.038248704,1.117504496,1.08635972,0.876443155,0.981624793,0.832066328,1.23460112,1.021662611,1.007538034,1.019844091,1.254307023,1.170066104,0.836707175,1.017570058,1.0710719,0.997531776,1.024391067,0.963530281,1.029409887
1.142825509,0.981491279,0.933735092,0.772103514,0.942771994,0.953573368,1.011375693,1.091924554,1.176097362,0.727725612,0.975286629,0.922781685,1.116795657,1.010613439,0.943941871,0.9649745,1.591815092,1.41612006,0.930666761,0.924277029,0.997251652,1.006184355,1.440405519,1.07192067,0.961819671,1.017676894,0.64713567,1.054824798,0.987122041,0.509881857,1.043303012,1.226980307,0.982634847,1.11762391,1.026097384,0.76632265,0.755378157,1.172679402,1.116483255,0.79215805,1.151688838,1.195131652,1.070035905,1.192690238,1.213279881,1.141710001,1.100969096,1.082767463,1.119440249,0.918128302,1.070103907,1.1017919,1.042546714,1.617419018,1.120720269,1.060081598,0.998001399,0.926156181,1.14621938,0.984242261,1.011850092,0.903177577,1.05995697,1.105753086,2.232808633,0.928221601,1.087211528,0.989207959,0.960305719,1.099304465,1.078895493
1.121641482,1.008971492,0.994131939,0.768626169,1.056065098,0.985280174,1.107800367,1.630895133,1.098426424,0.655346658,0.992636561,0.474824638,0.83869748,1.666907397,0.806779111,0.848307914,1.524057436,1.368593119,1.282163476,0.928506026,0.939842095,1.034144954,1.343355704,0.838492652,0.963869831,1.100337491,0.701774772,0.971344149,0.97176652,0.467216837,1.020323134,1.079793624,1.079275034,0.957271046,0.947273309,0.757417002,1.186127797,0.959781941,0.977642348,0.831815132,1.142282074,1.166538396,1.039609641,1.143895993,1.31517141,0.787254808,1.078752383,1.0619052,1.090164428,0.9454238,1.05591114,1.08200969,1.06512604,1.126778511,1.091417036,1.052793359,0.977283594,0.922664013,1.124321377,1.124398163,0.989327618,1.072932264,1.088355903,1.095056419,1.273073863,0.961193831,1.198832915,1.057037691,1.006569325,1.137409966,0.956532268
0.927637714,0.963917154,0.962468745,0.78387793,1.024200106,1.03981674,1.132724829,1.863298756,1.018371121,0.846813402,1.505776221,0.353278841,0.928073487,1.093871514,1.97715088,1.175109313,0.940633724,1.260554158,1.010870605,0.686519761,0.889618961,1.001082426,0.91983447,0.79286294,0.85161111,0.896122139,0.616854773,0.881285333,0.945769018,0.407259754,1.007878667,0.9691183,1.122896532,0.992714978,0.889583614,1.038855408,0.939973757,0.748758908,1.063661251,1.048045685,1.163685532,1.066086153,0.994594262,1.202987139,1.075819308,0.718022019,1.051933121,1.008399025,1.170994493,0.912436866,1.07792449,1.061438598,0.989888508,0.977576228,0.982972529,0.934029455,0.969426143,0.963747294,1.120632557,1.06308715,1.21372141,0.928115762,1.36582166,1.218463416,0.65390446,1.307832735,1.128468722,1.05795561,0.986863691,0.990440174,0.954569853
1.004117798,1.165967565,1.073005953,0.697991558,0.85931431,1.026128423,1.209797387,1.093727916,1.492707058,0.808627385,1.147872973,0.587259389,1.071170193,1.233845442,1.155995721,1.111294357,1.191697754,1.257362359,0.939578078,0.669248395,0.869227123,0.95724916,0.913763457,0.885324417,0.813114934,0.938194516,0.7391066,0.933258658,1.170153023,0.428524923,1.132909309,1.004581766,0.954973005,0.935037273,1.093764798,0.742681268,1.035102516,1.053702748,1.09035896,1.167272255,1.227471322,1.049858559,1.136082229,1.328267294,1.227587845,1.138029126,1.006807344,1.031113219,1.074528066,1.058230992,1.003234224,1.102713931,1.034360085,0.893073581,0.937213768,1.043976964,1.082333737,1.395700206,1.052946456,1.0859632,1.005918124,1.129901979,1.185368604,1.236992008,0.659790086,0.950457688,1.039156602,0.983392679,1.053471905,1.064507168,1.087217622
0.972733231,1.132432429,1.140482121,0.806455208,0.952589167,1.035457686,1.704753328,0.782999247,1.270702263,1.031249211,1.151892421,0.628671943,0.973381057,0.955314435,0.779803845,0.81495834,1.165828052,1.286370508,1.582009929,0.902961559,0.8966104,1.016147694,1.126833,0.89686664,0.915934746,1.058619003,0.719573409,1.12693882,0.995534249,0.562782726,0.967442631,0.994888519,1.059585625,0.995267752,1.030958308,0.863480756,0.890339572,2.060923253,1.021751864,0.887038746,1.140317301,1.164567042,1.023877305,1.234783249,1.463206392,1.304363834,1.007518439,1.023747653,1.054912624,0.982220612,1.009930602,1.032465551,1.025440587,1.002935474,1.270684008,1.741322321,1.010040541,1.408491957,1.078578352,1.037622607,0.979332321,1.044044768,0.991885296,1.08716769,0.650360993,0.804969667,1.017278068,1.005709979,0.998854716,1.088813001,1.007470967
1.060244922,1.023323245,1.116906213,1.204432729,0.897374225,1.416222245,1.124559193,0.683242547,0.96578162,1.410955406,1.277686111,0.72192899,0.887104004,0.816784893,0.69645809,0.951867543,1.185093118,1.23613464,1.034794785,0.881556609,0.872216754,0.932617365,0.994022376,0.91727809,0.922842678,1.044895841,0.719363073,0.925516807,0.920770213,1.436392379,0.95987789,1.120196801,0.958294716,0.983989654,0.981181167,1.874116218,1.040308538,1.015922693,1.114860224,0.963999934,1.219722724,1.177231536,1.10512021,1.241669676,1.319524092,1.428282679,1.009489797,0.997691248,1.075894925,1.05301112,1.063339708,1.063238305,1.033065789,0.908512095,1.057207322,1.085432746,1.000717405,0.96332418,1.034137466,1.059141945,0.985865928,1.05252045,1.007863774,1.134336799,0.652428363,1.015779971,1.040634639,1.00894509,1.046564318,0.997936919,1.016551826
0.991290107,1.068749846,0.952208205,0.895740791,1.044918543,1.019476848,1.122653853,0.585445208,0.93752048,0.902419236,0.87145545,0.145138762,1.056567907,1.087243957,1.661712882,0.95733603,1.187566279,1.359966146,0.893406471,0.70838661,0.910401374,1.003942886,0.855355649,1.069925387,0.936737675,1.056187848,0.701535415,0.958309616,0.959259671,1.463188357,1.021104159,1.151801951,1.009162479,0.985332971,0.943162959,0.946114795,0.737842467,0.709014608,1.078707489,1.213400426,1.150578121,1.089801512,1.1346452,1.222929573,1.105351081,1.350367337,0.996295965,1.067322858,1.073540805,1.049310441,1.004101321,1.036096394,1.045381182,1.021528229,1.060643363,1.044006598,1.029781714,0.898695022,0.993000738,1.043710072,0.997808146,1.049436378,1.28025492,1.192838047,0.706929613,1.197749572,0.91723798,0.967752806,1.024247391,0.976263553,1.011500422
0.957647575,1.071950878,0.986126297,0.716449259,0.9739189,0.988547227,0.89462418,0.620203211,0.847703113,0.931499336,0.869185376,0.52144906,0.992555176,1.022650794,0.982166424,0.942097367,0.908749475,1.272432856,0.764358037,1.145773813,1.212270372,1.20176329,0.879795218,0.890113029,1.004237458,0.948312479,0.769711658,0.894862703,1.241483238,1.167641536,1.124777816,1.045236741,1.088502418,0.992729696,0.935771384,1.041205377,1.132085094,1.459005575,1.04725664,0.917630339,1.083231066,1.043510216,1.154798318,1.112678697,1.23230081,0.909403201,0.990576622,1.038649757,1.065977313,1.055836924,0.9930328,1.003768789,1.035124224,1.116407444,1.145166089,0.939943263,1.04962146,0.918732142,1.01826936,1.083410964,1.02971933,1.039402109,1.115642409,1.114578859,0.868701099,1.461431084,1.011575755,0.937422881,0.983313303,1.100178703,0.931495201
0.980110192,0.964405424,0.8979506,0.708173797,1.051332735,1.150841178,1.022298478,0.601260683,0.939781161,1.067701182,0.962978086,0.550026282,0.89105284,1.092339503,0.744766468,1.201120158,1.177543004,0.964050436,1.021726601,0.991480714,1.145419486,0.951153917,0.90910423,0.825582473,1.001708758,1.133643064,0.676034905,1.021344752,0.964574062,1.493938007,1.053329508,1.055521904,0.962460039,0.879936909,1.003750399,1.355016354,0.883611468,0.67328998,0.999987291,1.139515165,1.094412762,1.17621258,1.184305898,1.193592178,1.156769468,0.91810883,1.081819154,1.07150575,1.108995498,0.959329382,1.09653274,1.035030404,1.049561333,1.912913374,1.028866818,0.995875241,1.113708707,1.03116363,0.996735871,1.039814387,1.016784427,1.262589359,1.024685118,1.117316325,1.18129734,0.962197542,1.081754582,1.042909697,1.005357441,1.060585587,0.967636691
