"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"RNU6-834P",1,0.001406,1.584,"reduce survival"
"CCL2",537,0.001412,1.568,"reduce survival"
"PPP1R8P1",7,0.001412,1.569,"reduce survival"
"MAPT-AS1",26,0.001413,0.637,"extend survival"
"SLC35G2",331,0.001429,1.564,"reduce survival"
"RP11-509J21.3",28,0.001435,1.565,"reduce survival"
"ALG6",349,0.001439,1.566,"reduce survival"
"RP11-1H8.3",7,0.001445,1.563,"reduce survival"
"YIPF1",635,0.001445,1.564,"reduce survival"
"AC027612.4",4,0.001452,1.566,"reduce survival"
"PQLC3",296,0.001452,1.567,"reduce survival"
"AC092301.3",5,0.001464,1.565,"reduce survival"
"NR2C2",139,0.001485,1.567,"reduce survival"
"RP11-776H12.1",32,0.001495,1.563,"reduce survival"
"AC013402.5",1,0.001498,1.596,"reduce survival"
"CHI3L2",2201,0.001498,1.562,"reduce survival"
"DNMT3B",118,0.001519,1.564,"reduce survival"
"CD8BP",1,0.001538,0.632,"extend survival"
"SERPING1",2484,0.001548,1.56,"reduce survival"
"LDHAP4",23,0.00156,1.557,"reduce survival"
"RP11-121A14.3",4,0.001566,1.561,"reduce survival"
"CRISPLD1",808,0.001567,1.558,"reduce survival"
"CD163",760,0.00157,1.562,"reduce survival"
"MAST2",2138,0.001581,1.56,"reduce survival"
"SYTL2",1001,0.001599,1.56,"reduce survival"
"SERPINA3",65,0.001602,1.56,"reduce survival"
"TMUB2",1927,0.001648,1.553,"reduce survival"
"MYOD1",1,0.00165,0.631,"extend survival"
"YLPM1",1482,0.001651,1.559,"reduce survival"
"TDGF1P6",2,0.00167,1.562,"reduce survival"
"EMILIN3",165,0.001673,1.558,"reduce survival"
"RP11-423H2.1",372,0.001675,0.642,"extend survival"
"ACKR3",664,0.001711,1.556,"reduce survival"
"AC093850.2",2,0.001719,1.554,"reduce survival"
"DGKD",1641,0.001727,1.555,"reduce survival"
"ISL2",21,0.001728,1.555,"reduce survival"
"CA3",127,0.001739,1.554,"reduce survival"
"FRYL",1522,0.001748,1.558,"reduce survival"
"CHIT1",48,0.001757,1.552,"reduce survival"
"RBMS1",917,0.001759,1.554,"reduce survival"
"AC064836.3",3,0.001782,1.563,"reduce survival"
"TTC17",1478,0.001798,1.555,"reduce survival"
"HAVCR1P1",20,0.001801,1.55,"reduce survival"
"SLC17A9",155,0.001805,1.554,"reduce survival"
"RPL21P119",4,0.001834,0.638,"extend survival"
"PLIN3",1191,0.001839,1.552,"reduce survival"
"GGT8P",5,0.001841,1.55,"reduce survival"
"USP42",671,0.001867,1.551,"reduce survival"
"RP1-261D10.1",1,0.001886,1.55,"reduce survival"
"RP11-420L9.2",9,0.001902,1.548,"reduce survival"
"NPHP3",530,0.001909,1.552,"reduce survival"
"HCCAT5",1,0.00192,1.544,"reduce survival"
"PTPN9",1193,0.00192,1.545,"reduce survival"
"RP1-68D18.4",2,0.001922,1.548,"reduce survival"
"AL035588.1",1,0.001936,1.556,"reduce survival"
"PITX1",92,0.001937,1.546,"reduce survival"
"KRT18P14",2,0.001947,1.549,"reduce survival"
"PTRF",4460,0.001949,1.547,"reduce survival"
"MMEL1",31,0.001956,1.549,"reduce survival"
"REN",1,0.001972,0.636,"extend survival"
"ERF",3666,0.001973,1.545,"reduce survival"
"RP1-261D10.2",40,0.001976,1.544,"reduce survival"
"KIAA1407",406,0.001978,1.548,"reduce survival"
"RP11-728G15.1",2,0.001997,0.643,"extend survival"
"RP11-87G24.6",2,0.001997,1.548,"reduce survival"
"RP11-428P16.2",7,0.001998,1.54,"reduce survival"
"RP5-850O15.3",1,0.002009,1.545,"reduce survival"
"ZNF432",515,0.002021,1.546,"reduce survival"
"RHOJ",703,0.002027,1.545,"reduce survival"
"RP4-758J18.2",749,0.002027,1.544,"reduce survival"
"DLGAP1-AS4",5,0.002028,0.647,"extend survival"
"C12orf40",1,0.002054,1.544,"reduce survival"
"GJA3",24,0.002069,1.542,"reduce survival"
"RP11-358B23.5",1,0.002073,1.543,"reduce survival"
"CAPZB",6496,0.002075,1.541,"reduce survival"
"SPRY2",1438,0.00208,1.544,"reduce survival"
"AP000593.6",1,0.002082,1.541,"reduce survival"
"HDAC1",2309,0.002083,1.54,"reduce survival"
"XG",5,0.002085,1.541,"reduce survival"
"MUC1",377,0.002095,1.54,"reduce survival"
"RP11-269G24.7",1,0.002098,1.552,"reduce survival"
"STIM2",1346,0.0021,1.543,"reduce survival"
"PKD1L1",30,0.002103,1.544,"reduce survival"
"RP11-83A24.1",2,0.002108,1.544,"reduce survival"
"FAM114A1",721,0.00212,1.542,"reduce survival"
"ALKBH1",213,0.002122,1.542,"reduce survival"
"RPL31P61",3,0.002138,1.539,"reduce survival"
"RP11-575L7.8",4,0.002141,1.543,"reduce survival"
"SLC25A25",965,0.002148,1.541,"reduce survival"
