"gene","median_expr","log_rank_p","risk_ratio_high_vs_low","survival_effect"
"SLC15A4",721,0.009959,1.441,"reduce survival"
"TP53INP2",3198,0.009966,1.439,"reduce survival"
"ALG14",365,0.009981,1.439,"reduce survival"
"COLGALT1",3367,0.009989,1.437,"reduce survival"
"RP11-472N13.2",6,0.01003,1.436,"reduce survival"
"CTD-2587M2.1",25,0.010034,1.439,"reduce survival"
"AC024937.6",17,0.010054,1.44,"reduce survival"
"ECM2",329,0.010055,1.44,"reduce survival"
"ZNF140",436,0.010064,1.438,"reduce survival"
"MARK1",544,0.010092,1.437,"reduce survival"
"TBCE",647,0.010092,1.436,"reduce survival"
"SPDYE3",159,0.010126,1.436,"reduce survival"
"CTBP2P8",6,0.010127,1.438,"reduce survival"
"RP11-568J23.5",7,0.010132,1.439,"reduce survival"
"ZNF507",594,0.010141,1.44,"reduce survival"
"MYO19",243,0.010171,1.438,"reduce survival"
"RPL17P43",1,0.010177,0.694,"extend survival"
"COL18A1",4022,0.010195,1.438,"reduce survival"
"SCAMP4",1856,0.010196,1.437,"reduce survival"
"ARMC2-AS1",1,0.010214,1.443,"reduce survival"
"CTNNA1",7970,0.010243,1.438,"reduce survival"
"ECE1",3723,0.01025,1.437,"reduce survival"
"RP11-4C20.3",8,0.010268,1.435,"reduce survival"
"HARS2",665,0.010294,1.438,"reduce survival"
"HHLA3",407,0.010298,1.433,"reduce survival"
"SLC38A4",7,0.010298,1.436,"reduce survival"
"CA1",3,0.010306,1.438,"reduce survival"
"RP5-981O7.2",6,0.010317,1.438,"reduce survival"
"NR2F2",530,0.010318,1.436,"reduce survival"
"RP4-742J24.2",3,0.010351,1.438,"reduce survival"
"MTERFD3",434,0.010356,1.436,"reduce survival"
"MGARP",28,0.010364,1.436,"reduce survival"
"LRRFIP1",1422,0.01038,1.436,"reduce survival"
"RP11-540B6.6",183,0.010418,1.437,"reduce survival"
"SOX9",4518,0.01042,1.432,"reduce survival"
"PSMC2",2918,0.010424,1.435,"reduce survival"
"CSNK1G1",372,0.010426,1.436,"reduce survival"
"ALOX12B",5,0.010432,0.696,"extend survival"
"RP11-742N3.1",203,0.010448,0.696,"extend survival"
"C19orf66",789,0.010463,1.436,"reduce survival"
"EDEM2",783,0.010469,1.435,"reduce survival"
"CYP26B1",119,0.010483,1.433,"reduce survival"
"POLD1",748,0.010503,1.434,"reduce survival"
"SUSD2",320,0.010507,1.435,"reduce survival"
"CTC-349C3.1",17,0.010523,1.438,"reduce survival"
"RP11-573G6.6",6,0.010531,1.434,"reduce survival"
"IL15RA",102,0.010534,1.436,"reduce survival"
"RP5-921G16.1",5,0.010536,0.697,"extend survival"
"NOD1",185,0.010555,1.437,"reduce survival"
"SLC39A1",3014,0.010556,1.434,"reduce survival"
"ATP8B2",1140,0.010565,1.436,"reduce survival"
"CCDC97",1180,0.010595,1.434,"reduce survival"
"HSPBAP1",343,0.010596,1.437,"reduce survival"
"C6orf164",8,0.010602,1.435,"reduce survival"
"PITRM1-AS1",19,0.010642,1.435,"reduce survival"
"ZNF316",1946,0.010642,1.435,"reduce survival"
"EBF3",19,0.010645,1.433,"reduce survival"
"ZC3H11A",3194,0.010663,1.436,"reduce survival"
"DNAJC22",120,0.010666,1.433,"reduce survival"
"TUBB2B",15434,0.010666,1.432,"reduce survival"
"AC092675.3",20,0.010687,1.434,"reduce survival"
"LRCH3",1410,0.010699,1.433,"reduce survival"
"PTH2R",12,0.010699,0.696,"extend survival"
"RUNX1",736,0.010699,1.434,"reduce survival"
"RP11-437L7.1",6,0.010705,1.433,"reduce survival"
"RP11-495K9.5",4,0.010723,1.435,"reduce survival"
"ADH4",2,0.010746,1.435,"reduce survival"
"GS1-124K5.2",30,0.010767,1.435,"reduce survival"
"ENPP7P5",1,0.010768,0.693,"extend survival"
"RNU6-298P",1,0.010793,1.445,"reduce survival"
"GNG2",721,0.010813,1.433,"reduce survival"
"LINC00939",3,0.010817,1.429,"reduce survival"
"C1RL-AS1",56,0.010841,1.434,"reduce survival"
"RHD",38,0.010864,1.435,"reduce survival"
"LARS2-AS1",1,0.010865,1.432,"reduce survival"
"ATAT1",395,0.010872,1.431,"reduce survival"
"PABPC1L",1351,0.010894,1.433,"reduce survival"
"STAU1",2738,0.010927,1.433,"reduce survival"
"RP11-512M8.3",3,0.010939,1.432,"reduce survival"
"RWDD3",87,0.010941,1.434,"reduce survival"
"RP11-288I21.1",12,0.010962,1.433,"reduce survival"
"RP1-168P16.3",1,0.01097,1.486,"reduce survival"
"MON2",1145,0.010988,1.434,"reduce survival"
"RP11-63N3.1",1,0.01099,1.436,"reduce survival"
"NHLH1",43,0.011028,1.428,"reduce survival"
"SFPQ",10156,0.011048,1.432,"reduce survival"
"EPHB2",959,0.01107,1.43,"reduce survival"
"PDIA4",3648,0.011077,1.431,"reduce survival"
"SAT1",7946,0.011079,1.432,"reduce survival"
"KIF24",116,0.01109,1.429,"reduce survival"
"C2orf44",302,0.011137,1.43,"reduce survival"
"TTC37",1456,0.011141,1.434,"reduce survival"
"ADPRH",217,0.01115,1.431,"reduce survival"
"CTC-471J1.10",6,0.011169,1.431,"reduce survival"
"CBLN1",44,0.011175,0.698,"extend survival"
"RNF7P1",1,0.011193,1.453,"reduce survival"
"CYP21A2",25,0.011195,1.429,"reduce survival"
"MKX",24,0.011214,0.699,"extend survival"
"RP11-1109F11.3",35,0.01122,1.433,"reduce survival"
"ATF7",727,0.011224,1.431,"reduce survival"
"RANBP17",58,0.011244,0.698,"extend survival"
"SCIMP",88,0.011256,1.43,"reduce survival"
"RP1-266L20.9",24,0.011261,1.433,"reduce survival"
"USP48",1427,0.01127,1.431,"reduce survival"
"CTD-2521M24.6",22,0.011274,1.431,"reduce survival"
"CTD-2171N6.1",3,0.011277,1.428,"reduce survival"
"FAM225B",13,0.011286,1.429,"reduce survival"
"CIDEA",2,0.011297,0.697,"extend survival"
"IGFBP5",10845,0.011325,1.43,"reduce survival"
"FAM120AOS",1042,0.011359,1.428,"reduce survival"
"RP11-32D17.4",1,0.011386,1.428,"reduce survival"
"CTB-175E5.7",3,0.011387,1.43,"reduce survival"
"CHKB-AS1",42,0.011398,0.698,"extend survival"
"GS1-304P7.2",3,0.011436,1.429,"reduce survival"
"KIF18A",82,0.011437,1.427,"reduce survival"
"LHX2",704,0.011472,1.427,"reduce survival"
"EFHC1",840,0.011481,1.431,"reduce survival"
"FKBP9L",32,0.011488,1.427,"reduce survival"
"RP11-397P13.6",1,0.011497,1.426,"reduce survival"
"CEP135",267,0.01154,1.428,"reduce survival"
"PCDHGB2",83,0.01154,1.429,"reduce survival"
"RP11-680F20.5",2,0.01154,1.432,"reduce survival"
"SAP30",845,0.011544,1.428,"reduce survival"
"FAM206A",566,0.011566,1.428,"reduce survival"
"RN7SKP275",1,0.011587,1.429,"reduce survival"
"SH3BP2",3621,0.011587,1.428,"reduce survival"
"CTC-301O7.4",8,0.011597,1.429,"reduce survival"
"AL390877.1",1,0.011621,1.428,"reduce survival"
"FBXO46",612,0.011625,1.427,"reduce survival"
"RP11-782C8.2",5,0.011644,1.427,"reduce survival"
"AC114730.2",10,0.011652,1.428,"reduce survival"
"CCND2",3552,0.011659,1.429,"reduce survival"
"ADAM20",4,0.01167,1.429,"reduce survival"
"GSTM2",1656,0.011678,1.43,"reduce survival"
"REP15",1,0.011678,1.426,"reduce survival"
"CYCSP10",5,0.01168,1.429,"reduce survival"
"ODF2",1396,0.011681,1.427,"reduce survival"
"DIAPH3",117,0.011682,1.428,"reduce survival"
"RP11-349A22.5",1351,0.011682,1.43,"reduce survival"
"CTC-296K1.4",3,0.011685,1.43,"reduce survival"
"RP4-680D5.9",1,0.011697,1.428,"reduce survival"
"KRT16P3",1,0.011702,1.429,"reduce survival"
"GLUD1P6",2,0.011711,0.69,"extend survival"
"EMP3",2300,0.011722,1.427,"reduce survival"
"AC034193.5",71,0.011737,1.428,"reduce survival"
"ZNF599",280,0.011754,1.427,"reduce survival"
"GLMN",259,0.011756,1.427,"reduce survival"
"TULP3",675,0.011756,1.427,"reduce survival"
"C1orf131",415,0.011758,1.426,"reduce survival"
"RP11-62L18.3",1,0.011797,1.431,"reduce survival"
"RP11-555M1.3",1,0.011812,1.425,"reduce survival"
"TAGLN2",8314,0.011839,1.427,"reduce survival"
"HOXC9",22,0.011857,1.425,"reduce survival"
"GPR6",1,0.011861,0.698,"extend survival"
"SLC35A2",212,0.011875,1.425,"reduce survival"
"AC104135.4",1,0.011879,1.449,"reduce survival"
"ADAMTS14",375,0.011912,1.427,"reduce survival"
"ALAD",1744,0.011921,1.426,"reduce survival"
"RP4-764D2.1",2,0.011938,1.427,"reduce survival"
"PROX1",452,0.011946,1.427,"reduce survival"
"CCT5P1",1,0.011995,1.44,"reduce survival"
"ARHGAP39",2041,0.011998,1.423,"reduce survival"
"FAM160A2",1041,0.011998,1.427,"reduce survival"
"RP11-231G15.3",2,0.012008,1.425,"reduce survival"
"AC017028.1",1,0.012019,0.691,"extend survival"
"LINC00618",3,0.012052,1.426,"reduce survival"
"PTPRF",4094,0.012068,1.426,"reduce survival"
"RNF24",1746,0.012073,1.425,"reduce survival"
"MC4R",2,0.012075,0.695,"extend survival"
"AC004017.1",18,0.012107,1.427,"reduce survival"
"RP11-572P18.1",119,0.012108,0.702,"extend survival"
"EHD2",1917,0.012127,1.425,"reduce survival"
"MYD88",727,0.012128,1.426,"reduce survival"
"EXOC1",1482,0.012132,1.426,"reduce survival"
"MTERF",318,0.012146,1.425,"reduce survival"
"RP11-318M2.2",185,0.012154,1.425,"reduce survival"
"LILRB4",478,0.012158,1.425,"reduce survival"
"RP11-156L14.1",28,0.012172,1.425,"reduce survival"
"FAM106B",5,0.012177,1.426,"reduce survival"
"VCL",1359,0.012201,1.426,"reduce survival"
"COL4A1",7159,0.012205,1.426,"reduce survival"
"RP11-264B17.4",6,0.012206,1.425,"reduce survival"
"HESX1",43,0.012207,1.421,"reduce survival"
"ORC2",497,0.012215,1.426,"reduce survival"
"CSRP2",1924,0.012229,1.425,"reduce survival"
"DRGX",2,0.012236,0.699,"extend survival"
"RP11-10A14.3",4,0.012241,1.428,"reduce survival"
"INTS3",1681,0.012254,1.424,"reduce survival"
"SLC2A10",386,0.012255,1.424,"reduce survival"
"GOLGA4",1398,0.01228,1.426,"reduce survival"
"KLK1",1,0.012292,0.7,"extend survival"
"ARF4",3080,0.012312,1.423,"reduce survival"
"MYSM1",684,0.012314,1.427,"reduce survival"
"EFEMP2",2840,0.012344,1.424,"reduce survival"
"RP11-421M1.8",21,0.012346,1.425,"reduce survival"
"RP11-446H18.1",13,0.012386,1.425,"reduce survival"
"CYP2G1P",2,0.012399,1.426,"reduce survival"
"AC092594.1",20,0.01241,1.425,"reduce survival"
"PXDN",2053,0.012414,1.424,"reduce survival"
"C3orf52",14,0.012428,1.423,"reduce survival"
"RP1-102K2.8",5,0.012437,1.423,"reduce survival"
"VAV3",214,0.012441,1.424,"reduce survival"
"TCAM1P",4,0.012442,0.695,"extend survival"
"RP4-713B5.2",5,0.012501,1.424,"reduce survival"
"SNORA34",3,0.012509,1.423,"reduce survival"
"PTBP1",6141,0.012532,1.422,"reduce survival"
"ZNF44",377,0.012588,1.425,"reduce survival"
"RGS19",847,0.012599,1.421,"reduce survival"
"COL6A3",506,0.012659,1.423,"reduce survival"
"RP11-631M6.3",1,0.012661,1.422,"reduce survival"
"BPGM",823,0.012687,1.42,"reduce survival"
"BTN2A2",455,0.012688,1.423,"reduce survival"
"AC005083.1",9,0.012692,1.422,"reduce survival"
"PIFO",351,0.012702,1.423,"reduce survival"
"ITGB3BP",356,0.012704,1.42,"reduce survival"
"AC000123.4",23,0.012709,1.422,"reduce survival"
"ZNF584",375,0.012733,1.422,"reduce survival"
"UAP1L1",1766,0.012743,1.422,"reduce survival"
"SERINC2",78,0.012745,1.422,"reduce survival"
"LTV1",522,0.012749,1.422,"reduce survival"
"AC005682.6",11,0.01275,1.422,"reduce survival"
"RP11-242D8.2",5,0.012752,1.421,"reduce survival"
"CLN5",667,0.012763,1.422,"reduce survival"
"SLC25A36P1",3,0.012766,1.423,"reduce survival"
"C5orf34",85,0.012769,1.419,"reduce survival"
"RIC8B",712,0.012808,1.422,"reduce survival"
"NRSN1",180,0.012809,0.704,"extend survival"
"CLEC4GP1",5,0.012815,0.701,"extend survival"
"BANK1",22,0.012824,1.421,"reduce survival"
"FPR3",144,0.012859,1.422,"reduce survival"
"PRMT2",4446,0.012902,1.42,"reduce survival"
"MRPL53",70,0.012905,1.421,"reduce survival"
"RP11-792A8.3",3,0.012905,1.422,"reduce survival"
"CC2D1B",1272,0.012907,1.422,"reduce survival"
"ANKRD61",14,0.012921,1.422,"reduce survival"
"ATOH7",12,0.012921,0.704,"extend survival"
"RNF216",2446,0.012927,1.42,"reduce survival"
"CTD-2323K18.1",5,0.012936,1.429,"reduce survival"
"MGC4294",23,0.012939,1.421,"reduce survival"
"RP11-153M7.3",19,0.012969,1.421,"reduce survival"
"COL4A2-AS1",3,0.012976,1.421,"reduce survival"
"SLC35D2",696,0.012983,1.421,"reduce survival"
"PTPRZ1",15883,0.012994,1.421,"reduce survival"
"GNAI2",6189,0.012996,1.42,"reduce survival"
"ABCC3",745,0.013003,1.42,"reduce survival"
"MRPS9",342,0.013013,1.419,"reduce survival"
"SSTR3",11,0.013018,0.703,"extend survival"
"MRPS18A",319,0.013055,1.418,"reduce survival"
"TIPARP",935,0.013057,1.421,"reduce survival"
"TMEM127",2482,0.013105,1.419,"reduce survival"
"KCNIP3",727,0.013106,0.704,"extend survival"
"CTD-3244O18.5",1,0.01316,1.437,"reduce survival"
"CCNT2",991,0.013169,1.421,"reduce survival"
"CRYGN",7,0.013199,0.705,"extend survival"
"AC004076.9",2,0.013219,1.425,"reduce survival"
"ZNF646",934,0.013227,1.419,"reduce survival"
"HNRNPA1P16",32,0.01324,1.418,"reduce survival"
"NCSTN",2178,0.013251,1.42,"reduce survival"
"RP11-40C6.2",5,0.013268,0.704,"extend survival"
"SNORD7",4,0.013301,1.418,"reduce survival"
"ADPRHL2",1514,0.013305,1.417,"reduce survival"
"CCKAR",2,0.013316,1.423,"reduce survival"
"FIZ1",1102,0.013349,1.417,"reduce survival"
"RPS15AP36",4,0.013354,1.418,"reduce survival"
"RP11-649A18.4",6,0.013368,1.418,"reduce survival"
"ZNF285",189,0.013375,1.42,"reduce survival"
"GSAP",537,0.013383,1.419,"reduce survival"
"AHSA2",2477,0.013386,1.42,"reduce survival"
"CTC-499B15.7",1,0.01342,1.419,"reduce survival"
"CTD-2331H12.7",4,0.013423,1.418,"reduce survival"
"ARHGEF3",993,0.013424,1.417,"reduce survival"
"METTL15P1",3,0.013439,1.419,"reduce survival"
"SLC27A3",641,0.013441,1.417,"reduce survival"
"MLLT1",1314,0.013461,1.417,"reduce survival"
"THAP9-AS1",711,0.013475,1.418,"reduce survival"
"CTB-175P5.4",26,0.013477,1.416,"reduce survival"
"AC092295.4",1,0.013491,1.423,"reduce survival"
"TRIP12",2900,0.013506,1.419,"reduce survival"
"TNIK",1462,0.013536,1.418,"reduce survival"
"NLN",965,0.013544,1.418,"reduce survival"
"ZNF484",97,0.01356,1.418,"reduce survival"
"ACTL10",47,0.013562,1.417,"reduce survival"
"ING2",296,0.013567,1.415,"reduce survival"
"YEATS2-AS1",48,0.013568,1.418,"reduce survival"
"SLC44A3",277,0.013581,1.417,"reduce survival"
"SRPX2",319,0.013608,1.417,"reduce survival"
"APOL6",866,0.013624,1.418,"reduce survival"
"GJB4",1,0.013645,1.43,"reduce survival"
"LINC00617",17,0.013677,0.704,"extend survival"
"TOR4A",359,0.013702,1.417,"reduce survival"
"SMC5-AS1",18,0.013703,1.416,"reduce survival"
"RNU1-91P",1,0.01373,1.448,"reduce survival"
"RP4-607I7.1",12,0.013739,1.417,"reduce survival"
"EVX2",4,0.013762,1.411,"reduce survival"
"ERCC6L",45,0.013764,1.414,"reduce survival"
"RNU6-945P",4,0.013798,1.415,"reduce survival"
"ACTG1",14033,0.013808,1.416,"reduce survival"
"AC004067.5",29,0.013819,1.415,"reduce survival"
"KCNMB3",49,0.013822,1.417,"reduce survival"
"KIAA2013",2458,0.013822,1.414,"reduce survival"
"ACTN1",4194,0.013859,1.417,"reduce survival"
"CTD-2583A14.1",5,0.013866,1.418,"reduce survival"
"WRAP73",774,0.01388,1.416,"reduce survival"
"NGF",13,0.013888,0.705,"extend survival"
"PPP1R36",27,0.013892,1.415,"reduce survival"
"IGFBP3",2264,0.013893,1.416,"reduce survival"
"HELZ2",1255,0.013899,1.416,"reduce survival"
"RP11-387M24.5",5,0.013921,1.414,"reduce survival"
"CTD-2349P21.11",2,0.013934,1.423,"reduce survival"
"RP11-111G23.1",16,0.013934,1.416,"reduce survival"
"RP11-709A23.2",2,0.013948,1.414,"reduce survival"
"ZNF594",271,0.013984,1.417,"reduce survival"
"MFAP2",107,0.014,1.414,"reduce survival"
"NUDT17",89,0.014,1.415,"reduce survival"
"RP11-16C1.2",2,0.014015,1.42,"reduce survival"
"RP11-830F9.7",4,0.014042,0.707,"extend survival"
"C19orf12",865,0.01406,1.414,"reduce survival"
"KIAA0319L",2674,0.014078,1.412,"reduce survival"
"CDK13",1449,0.014087,1.416,"reduce survival"
"RN7SL403P",3,0.014088,1.417,"reduce survival"
"HNRNPA2B1",25902,0.014116,1.414,"reduce survival"
"SETD8",1353,0.014137,1.412,"reduce survival"
"LINC00115",42,0.01416,1.413,"reduce survival"
"ANKDD1B",19,0.014163,1.415,"reduce survival"
"ARFIP1",746,0.014176,1.416,"reduce survival"
"COL5A1",1375,0.014198,1.415,"reduce survival"
"ZNF547",127,0.014225,1.414,"reduce survival"
"MPP5",807,0.014226,1.415,"reduce survival"
"HAUS5",1107,0.01425,1.414,"reduce survival"
"RP11-115L11.1",4,0.014259,1.413,"reduce survival"
"SERPIND1",6,0.014259,0.706,"extend survival"
"CLU",194056,0.014283,1.413,"reduce survival"
"HRH3",41,0.014295,0.707,"extend survival"
"RP11-122D10.1",1,0.014317,1.442,"reduce survival"
"DUSP5P1",25,0.014325,1.414,"reduce survival"
"KLF17",9,0.014327,1.413,"reduce survival"
"CFLAR",2142,0.014381,1.414,"reduce survival"
"RP11-380J14.1",2,0.014381,1.414,"reduce survival"
"P2RX6",327,0.014387,0.707,"extend survival"
"RP11-108P20.1",30,0.014394,1.412,"reduce survival"
"KPNA1",1035,0.014413,1.413,"reduce survival"
"FCGR2A",707,0.014463,1.414,"reduce survival"
"CTD-2553L13.4",1,0.014528,1.413,"reduce survival"
"THBS1",490,0.014534,1.414,"reduce survival"
"FCHSD1",429,0.014558,1.414,"reduce survival"
"RP1-99E18.2",1,0.014596,1.412,"reduce survival"
"LRRC69",31,0.014649,1.413,"reduce survival"
"SLC8A2",112,0.014654,0.709,"extend survival"
"CMTM3",2462,0.014655,1.411,"reduce survival"
"NCKAP5",222,0.014662,1.413,"reduce survival"
"DHRS2",23,0.014678,0.708,"extend survival"
"CORIN",16,0.014703,1.411,"reduce survival"
"KCNV2",4,0.014741,1.412,"reduce survival"
"ABCC10",941,0.014795,1.413,"reduce survival"
"DNM2",5808,0.014815,1.411,"reduce survival"
"HMGB3P6",1,0.014818,0.69,"extend survival"
"SCRN1",6208,0.014819,1.411,"reduce survival"
"GLYATL1P1",1,0.014824,1.411,"reduce survival"
"CALU",2660,0.01483,1.411,"reduce survival"
"COL6A1",10328,0.014852,1.41,"reduce survival"
"CSTA",48,0.014859,1.412,"reduce survival"
"NBPF20",34,0.014904,1.412,"reduce survival"
"SKP1",5808,0.014931,0.708,"extend survival"
"SPATA13",1070,0.014953,1.411,"reduce survival"
"AC147651.4",49,0.014974,1.409,"reduce survival"
"NSD1",1573,0.015005,1.411,"reduce survival"
"RP3-523E19.2",4,0.015019,1.411,"reduce survival"
"ZNF571",153,0.015026,1.41,"reduce survival"
"USP30",601,0.015034,1.41,"reduce survival"
"AC132216.1",1,0.015047,1.411,"reduce survival"
"TNFRSF19",629,0.015067,1.41,"reduce survival"
"UACA",1008,0.015074,1.411,"reduce survival"
"PPIF",1643,0.0151,0.709,"extend survival"
"RP6-206I17.2",21,0.015132,1.409,"reduce survival"
"SAMD4A",1429,0.015184,1.411,"reduce survival"
"C1S",726,0.0152,1.41,"reduce survival"
"CD248",722,0.015222,1.408,"reduce survival"
"RP11-460N20.7",9,0.015226,1.407,"reduce survival"
"TP53I11",943,0.015226,1.408,"reduce survival"
"RP11-438L19.1",16,0.01523,1.41,"reduce survival"
"PCOLCE-AS1",9,0.015244,1.408,"reduce survival"
"VASN",868,0.015281,1.408,"reduce survival"
"DDX54",1405,0.015297,1.407,"reduce survival"
"SMC6",705,0.015303,1.41,"reduce survival"
"KRIT1",666,0.015306,1.41,"reduce survival"
"DDX60L",503,0.015315,1.41,"reduce survival"
"SNTB2",545,0.015334,1.41,"reduce survival"
"ZNF267",250,0.015358,1.41,"reduce survival"
"C11orf91",9,0.015385,1.408,"reduce survival"
"RBM44",21,0.015421,1.408,"reduce survival"
"CHST6",161,0.01543,1.409,"reduce survival"
"CD58",316,0.015439,1.409,"reduce survival"
"RP11-37C7.3",39,0.01544,1.408,"reduce survival"
"RP4-734C18.1",2,0.015455,1.407,"reduce survival"
"LINC00162",2,0.015471,1.407,"reduce survival"
"STEAP3",945,0.015475,1.407,"reduce survival"
"MYO9B",8538,0.015478,1.409,"reduce survival"
"SHC1",1455,0.015486,1.408,"reduce survival"
"CPNE2",2841,0.015513,1.407,"reduce survival"
"HIST1H3E",16,0.015571,1.408,"reduce survival"
"AJ003147.9",1,0.015574,0.695,"extend survival"
"POLK",282,0.015574,1.409,"reduce survival"
"OSMR",622,0.015584,1.408,"reduce survival"
"KIF26B",424,0.015611,1.407,"reduce survival"
"ARMC9",458,0.015612,1.407,"reduce survival"
"SRSF6",5307,0.015621,1.409,"reduce survival"
"NAB2",1449,0.015635,1.406,"reduce survival"
"TMEM140",297,0.015652,1.408,"reduce survival"
"CRNDE",266,0.015666,1.404,"reduce survival"
"LOXL1",373,0.015672,1.406,"reduce survival"
"AL079342.1",1,0.015674,1.421,"reduce survival"
"HIST3H2A",321,0.015682,0.711,"extend survival"
"RPL34P31",1,0.015687,0.691,"extend survival"
"AK4P1",10,0.015704,1.407,"reduce survival"
"RP5-834N19.1",2,0.015709,1.406,"reduce survival"
"SMIM15",862,0.015727,1.408,"reduce survival"
"GNRH2",25,0.015732,1.406,"reduce survival"
"BACH1-IT2",6,0.015769,1.403,"reduce survival"
"MCAM",3641,0.015774,1.406,"reduce survival"
"CTTN",6403,0.015791,1.408,"reduce survival"
"GABRA1",26,0.015791,0.71,"extend survival"
"DDB2",611,0.015804,1.407,"reduce survival"
"RP11-209K10.2",1,0.015809,1.406,"reduce survival"
"ZSCAN22",174,0.015847,1.407,"reduce survival"
"YOD1",303,0.015895,1.407,"reduce survival"
"CDC42BPA",1642,0.015902,1.407,"reduce survival"
"RP5-940F7.2",1,0.015903,1.415,"reduce survival"
"FAM19A2",66,0.015915,0.711,"extend survival"
"HTR1A",1,0.015953,0.711,"extend survival"
"RP11-524C21.1",1,0.015981,1.408,"reduce survival"
"RP11-728K20.3",3,0.015988,1.405,"reduce survival"
"SLC44A2",6660,0.015993,1.406,"reduce survival"
"RP11-532M24.1",9,0.015995,1.405,"reduce survival"
"HOXA9",6,0.016036,1.405,"reduce survival"
"NEK9",2193,0.016066,1.407,"reduce survival"
"RP11-566J3.2",1,0.016081,1.407,"reduce survival"
"LARP1P1",1,0.016095,1.416,"reduce survival"
"DIRAS3",266,0.016096,1.406,"reduce survival"
"WDR66",178,0.016098,1.406,"reduce survival"
"ADNP",2087,0.016116,1.405,"reduce survival"
"LINC00339",367,0.016132,1.405,"reduce survival"
"LAMB2",7706,0.016135,1.405,"reduce survival"
"TMEM44-AS1",143,0.016167,1.404,"reduce survival"
"CTB-161C1.1",2,0.016172,1.41,"reduce survival"
"HES2",9,0.016215,1.405,"reduce survival"
"CALB2",105,0.016236,0.711,"extend survival"
"SLITRK4",6,0.016236,0.711,"extend survival"
"SNHG14",1849,0.016241,1.406,"reduce survival"
"TMEM50A",2428,0.016316,1.404,"reduce survival"
"ZNF75A",558,0.016325,1.404,"reduce survival"
"PMM2",77,0.016329,1.406,"reduce survival"
"JAM3",2765,0.016364,1.405,"reduce survival"
"ZNF493",429,0.016372,1.405,"reduce survival"
"IFITM5",5,0.016373,1.403,"reduce survival"
"RP11-327F22.1",2,0.01639,1.404,"reduce survival"
"GPR82",38,0.016394,1.405,"reduce survival"
"OTP",32,0.016439,1.403,"reduce survival"
"TMED4",2957,0.016442,1.403,"reduce survival"
"KLF12",590,0.016446,1.405,"reduce survival"
"RPE65",102,0.016448,1.404,"reduce survival"
"EVC",295,0.016453,1.404,"reduce survival"
"HLA-DRB6",12,0.016481,1.401,"reduce survival"
"ARHGAP21",4094,0.016526,1.405,"reduce survival"
"WDHD1",188,0.016533,1.403,"reduce survival"
"HN1L",1097,0.016535,1.402,"reduce survival"
"DCHS1",1430,0.016544,1.404,"reduce survival"
"SNORD14A",33,0.016553,1.404,"reduce survival"
"ARHGAP17",534,0.016562,1.405,"reduce survival"
"PINLYP",328,0.016572,1.401,"reduce survival"
"AC006116.13",2,0.016581,1.404,"reduce survival"
"SNORD93",1,0.016595,1.409,"reduce survival"
"FGR",276,0.016606,1.404,"reduce survival"
"CTD-2619J13.8",61,0.016639,1.402,"reduce survival"
"SIGLEC10",389,0.016658,1.404,"reduce survival"
"PNN",2824,0.016675,1.405,"reduce survival"
"AC093495.4",9,0.016696,1.402,"reduce survival"
"BAZ2A",2094,0.01672,1.404,"reduce survival"
"CTC-484P3.1",1,0.016735,0.702,"extend survival"
"CTD-2527I21.14",23,0.01676,1.404,"reduce survival"
"KIF4A",361,0.016761,1.399,"reduce survival"
"MIR4426",38,0.016766,0.713,"extend survival"
"INTS12",227,0.016776,1.4,"reduce survival"
"GS1-124K5.6",2,0.016778,1.404,"reduce survival"
"ZNF518B",344,0.016785,1.401,"reduce survival"
"RPS24P17",1,0.016786,0.658,"extend survival"
"FANCF",286,0.016799,1.4,"reduce survival"
"RN7SL192P",5,0.016803,1.403,"reduce survival"
"RP11-195B21.3",1,0.016808,1.402,"reduce survival"
"GLT8D1",1688,0.016834,1.402,"reduce survival"
"RP11-416I2.1",3,0.016861,0.71,"extend survival"
"RP5-1007H16.1",8,0.016869,1.401,"reduce survival"
"PDZK1IP1",22,0.016899,1.399,"reduce survival"
"CNTNAP1",1431,0.016925,1.402,"reduce survival"
"AC092168.2",1,0.016937,1.404,"reduce survival"
"TLR2",448,0.016957,1.403,"reduce survival"
"FRMD8",1431,0.01697,1.4,"reduce survival"
"MIR210HG",204,0.016984,1.401,"reduce survival"
"GLIS3",737,0.016993,1.401,"reduce survival"
"AC087380.14",2,0.017014,1.402,"reduce survival"
"ZSCAN25",506,0.017019,1.402,"reduce survival"
"CDC42P4",1,0.017036,1.401,"reduce survival"
"FAR1",1887,0.017061,1.403,"reduce survival"
"PPP1R18",252,0.017068,1.402,"reduce survival"
"REST",497,0.017072,1.402,"reduce survival"
"UBXN7",1128,0.017082,1.402,"reduce survival"
"GOLPH3L",451,0.017109,1.4,"reduce survival"
"SLC10A7",154,0.017129,1.402,"reduce survival"
"LEFTY2",47,0.017148,1.4,"reduce survival"
"CTPS1",652,0.017149,1.399,"reduce survival"
"FLII",3687,0.017214,1.401,"reduce survival"
"WDR52",395,0.017245,1.401,"reduce survival"
"PLSCR4",674,0.017284,1.4,"reduce survival"
"RP11-417L19.4",10,0.017287,1.398,"reduce survival"
"RP11-31F15.1",32,0.017297,1.4,"reduce survival"
"CCDC14",1926,0.017298,1.401,"reduce survival"
